a_input,ampl_rec,cstart,cstop,dur,ed_rec,ed_rec_err,inlc,istart,istop,phi0,theta,total_n_valid_data_points,tstart,tstop,Protratio
0.25,0.11657558667231904,,,0.23632385120350108,1621.3426052534592,50.47364010845347,39.0,734.0,752.0,-0.4,45.0,3200.0,10.63676148796499,10.87308533916849,0.5908096280087527
0.25,0.12955660607990405,,,0.2100656455142218,1579.052247015484,47.51448697498097,56.0,733.0,749.0,5.4,45.0,3200.0,10.62363238512035,10.833698030634572,0.5251641137855545
0.25,0.08753145467884504,,,0.19693654266958482,1052.436312057148,45.27500844433559,70.0,736.0,751.0,-0.4,45.0,3200.0,10.663019693654267,10.859956236323852,0.49234135667396206
0.25,0.09282807053548425,,,0.17067833698030555,889.0213335168937,42.18783232003022,81.0,737.0,750.0,-0.4,45.0,3200.0,10.676148796498905,10.846827133479211,0.42669584245076386
0.25,0.07582016124554158,,,0.14442013129102804,703.6500269777582,38.97203998811063,86.00000000000001,738.0,749.0,-0.4,45.0,3200.0,10.689277899343544,10.833698030634572,0.3610503282275701
0.5,0.3431096006236729,,,0.6170678336980302,5622.662653685599,75.1024504299571,1.0,729.0,776.0,-0.4,45.0,3200.0,10.571115973741794,11.188183807439824,1.5426695842450755
0.5,0.35988341184694006,,,0.6433260393873095,5693.805244007378,75.36702155296034,6.0,729.0,778.0,5.4,45.0,3200.0,10.571115973741794,11.214442013129103,1.6083150984682737
0.5,0.45372225107330233,,,0.5382932166301977,5375.220010065466,68.84913135933805,24.0,728.0,769.0,3.4,45.0,3200.0,10.557986870897155,11.096280087527353,1.3457330415754942
0.5,0.12877486731997467,,,0.4332603938730859,3007.42997149046,67.15865472061887,39.0,728.0,761.0,1.4,45.0,3200.0,10.557986870897155,10.99124726477024,1.0831509846827148
0.5,0.12262540007824496,,,0.26258205689278036,1627.5496980862551,51.23826687131554,56.0,741.0,761.0,1.4,45.0,3200.0,10.72866520787746,10.99124726477024,0.6564551422319509
0.5,0.1736328824475224,,,0.23632385120350108,2302.4131392824224,51.11493699939641,70.0,735.0,753.0,-0.4,45.0,3200.0,10.649890590809628,10.886214442013129,0.5908096280087527
