,istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,snr,period,period_h,TIC,Sector,note,dur_over_period,
2173,9165,9171,554851,554857,1998.07940405416,1998.08773744331,72.8153953804229,3.20440525645604,0.205274820327759,0.008333389144809,16947,2.4426546804018,0.050950157566662,1.22280378159988,367006563,25,I,0.16355963441145,
1933,5329,5334,392399,392411,1772.45501577861,1772.47168247704,147.470593388089,12.1430107193817,0.230745911598206,0.016666698432573,13238,2.10182911201673,0.095569131015128,2.29365914436307,360020321,17,I,0.174394161122327,
1533,12664,12688,280706,280730,1617.32642602623,1617.35975863257,262.013348183534,9.94228315732831,0.279565453529358,0.033332606348267,17236,2.65749872054593,0.177733111638256,4.26559467931814,359158317,11,I,0.187543030339274,
519,12762,12787,402084,402109,1785.90801267689,1785.94273486705,813.689591971867,10.0402086396425,0.669931769371033,0.03472219016021,14119,2.19688889163682,0.200106070149795,4.80254568359508,358899709,17,I,0.173518924909263,
1383,7525,7542,254640,254657,1581.12382844592,1581.14743950538,227.638655380424,1.41166280753908,0.308293700218201,0.023611059458745,16129,3.45369308519493,0.1308951182454,3.14148283788961,356838394,10,I,0.180381512887894,
314,8553,8579,338620,338647,1697.75969843013,1697.79719764219,562.911685110931,6.51175710912337,1.01446461677551,0.037499212064176,16119,3.39280842956485,0.241537117108349,5.79689081060037,356632694,14,I,0.155252379067498,
618,8279,8297,554480,554498,1997.57038673469,1997.59538684205,476.190924036761,6.41536404507275,0.58245050907135,0.025000107361848,15760,2.41375843026914,0.062662702760509,1.50390486625221,356062524,25,I,0.398963119375749,
665,6111,6129,334615,334633,1692.19439703685,1692.21939733306,362.034407350571,6.09590899498924,0.556179881095886,0.025000296212966,18125,2.38377490685293,0.052663427344928,1.26392225627827,355935333,14,I,0.474718366680208,
413,12557,12649,186939,187031,1487.09509189311,1487.22286756627,3212.74595549063,3.86572127558346,0.807358145713806,0.127775673158794,14527,2.07827086268093,0.316582404466859,7.59797770720461,354572301,6,norot,0.403609522689597,
2102,8320,8370,160082,160132,1449.79377207701,1449.8632169941,280.185451023686,2.84615858781193,0.211606025695801,0.06944491709146,17586,3.41329450942158,0.316454062846193,7.59489750830864,354572301,5,I,0.219447070664447,
1489,363,370,406213,406220,1791.64466931019,1791.65439156743,102.131019306872,4.74432237816202,0.28586757183075,0.009722257237172,14494,2.07692644970266,0.051187357641953,1.22849658340688,354257585,18,I,0.189934735548914,
17,8949,8990,453158,453199,1856.84050573025,1856.89744911842,3484.65591038225,5.80441823348374,5.89554309844971,0.05694338817284,17334,2.28989398163717,0.273806399884406,6.57135359722574,352239584,20,I,0.207969529554021,
327,837,875,464127,464165,1872.0750088398,1872.12778588825,640.320139615249,5.65573341394339,0.984624862670898,0.052777048447979,18002,3.28153995731841,0.27334586511302,6.56030076271248,352239584,21,I,0.193077910383453,
542,13375,13410,402914,402949,1787.05859466799,1787.10720488723,809.935039698824,6.37563240607656,0.644300103187561,0.048610219233751,13532,2.14015435743469,0.273365706566141,6.56077695758739,352239584,17,I,0.177821204584745,
2129,13290,13300,560826,560836,2006.3770782874,2006.39096749383,148.515334598545,4.20427493861425,0.208958745002747,0.013889206433305,15199,7.25446007419404,0.08847997647591,2.12351943542184,351685943,25,I,0.156975702147554,
1284,7064,7077,295534,295547,1637.92470398166,1637.94275955468,203.497232944701,4.03410344187519,0.328571677207947,0.018055573023048,15414,2.06307594878701,0.075715501326079,1.8171720318259,351099931,12,I,0.238466003748549,
411,779,795,545384,545400,1984.93161483196,1984.95383680658,270.129524433552,2.50004268490751,0.81043815612793,0.022221974618788,16947,2.1103775904563,0.052728577257066,1.26548585416959,350734035,25,I,0.421440815868213,
2087,6086,6098,550770,550782,1992.41210076569,1992.4287673101,88.3441342063047,2.82854640151948,0.212783336639404,0.016666544410327,16947,2.1103775904563,0.052728577257066,1.26548585416959,350734035,25,I,0.316081815162073,
2071,6631,6639,396641,396650,1778.34646777774,1778.35896800206,85.3893199958662,1.89327122264862,0.21418559551239,0.012500224321912,12875,2.28009603854592,0.058563805637338,1.40553133529611,350734035,17,I,0.213446243560756,
911,1494,1524,133747,133790,1413.2142562757,1413.27397901572,974.691119584605,17.1374495601928,0.432398200035095,0.059722740020789,15477,2.02953089853524,0.063842586223775,1.53222206937059,350025862,4,sys,0.935468682478722,
1368,6019,6029,196392,196402,1500.22243175527,1500.23632086166,187.488502245124,7.07383043111354,0.31071150302887,0.013889106386841,16063,2.28152580914986,0.05908971448012,1.41815314752288,350025862,7,norot,0.235051167686955,
328,12233,12251,320295,320313,1672.30932073614,1672.33432034741,754.073458256081,12.7451063771475,0.978915095329285,0.024999611267958,19283,2.0541050016264,0.05523244020011,1.32557856480263,350025862,13,I,0.452625507353706,
