designation,ra,ra_error,dec,dec_error,parallax,g_rp
Gaia DR2 5375925008655585152,171.749327810075,0.646330935145846,-45.0972723493976,0.822713825603527,20.3497278820349,1.3881474
Gaia DR2 1838340564985076352,315.66437946689,0.104641254682614,21.7477245497365,0.093733618915323,23.419200704701,1.3881502
Gaia DR2 4034564360852041600,179.001158591803,0.083021038564284,39.3766058373313,0.078916622302734,21.1446065984193,1.3881836
Gaia DR2 2754820168575759232,6.13565647813488,0.108644784746827,11.7719929107165,0.084826626832319,22.2521727337174,1.3881855
Gaia DR2 4320590181866244992,287.751160682237,1.12810097554237,15.0623317019418,1.17351619939618,21.8707224996647,1.3881912
Gaia DR2 6636914006463061120,283.249867253265,0.088328240557493,-57.7476068460912,0.0898451734648,20.3820573177664,1.3881931
Gaia DR2 1833484636304142720,300.618781154193,1.21537289613129,24.0403739617703,1.34476097796085,21.0307110604009,1.3881989
Gaia DR2 3222779395463987200,84.3224264664964,0.095064173655766,1.64311747976615,0.095548291371542,27.8876785065627,1.3882494
Gaia DR2 4080084348428869120,280.151190287786,0.083645255672367,-20.5195921091558,0.087364108771999,23.2524007340759,1.3882895
Gaia DR2 4136502179820402304,258.58060950374,0.092480417209869,-15.0219421358345,0.071624749436349,41.8653465414207,1.3883171
Gaia DR2 4789892565251620096,69.0380382728087,0.044615643187095,-46.6938156507765,0.057685563604275,22.2905424985963,1.3883314
Gaia DR2 635202989946889728,138.671286190053,0.093581883173115,18.1623549515611,0.068740008216586,40.7703239381793,1.3883314
Gaia DR2 3920737557025961216,181.848291701252,0.104366165903891,13.0365600061445,0.070559401740744,22.9508810560237,1.3883715
Gaia DR2 5977930547144808064,254.567473213942,1.28873494616759,-34.9081078735932,0.841018984110489,20.0794334810407,1.3883953
Gaia DR2 2824971553049816576,349.703242252838,0.074201425745995,18.7630063508093,0.060237298698799,25.223252365069,1.3883991
Gaia DR2 4483291686266664064,272.568368517552,0.092355034738727,11.5107249705489,0.107333075036272,33.162853579865,1.3884192
Gaia DR2 6402595850813135360,328.528623648568,0.061639867599376,-63.7642171976454,0.079350470663916,33.2887332617704,1.3884592
Gaia DR2 3313751441358252160,66.5798151960633,0.122041948105138,17.0504786483816,0.050472579325312,21.3784773793523,1.3884888
Gaia DR2 4036542038701826176,269.735539483533,1.04396822151107,-38.6526267650115,1.03994292120966,50.397919002483,1.3885269
Gaia DR2 591103326607857920,136.248854386854,0.109015519557092,8.54242030126624,0.10221552968698,20.3542453867245,1.3885345
Gaia DR2 4123549932930245760,264.29645135442,0.102155746536821,-17.5794009401797,0.0891884158048,23.944160725403,1.3885365
Gaia DR2 5281894331870095744,102.788170196656,0.060467424205638,-66.7016263363774,0.072556926802424,32.4694103181319,1.3885403
Gaia DR2 518324216725186816,26.9936078656736,1.24497295391846,65.3132116211683,0.915690513251175,36.9601223901943,1.3885403
Gaia DR2 4285199067227230592,280.966898650513,0.166111897230742,5.11963174679641,0.145180883784347,25.7245168226963,1.3885479
Gaia DR2 2287097542848140032,334.043292470156,0.053725293800224,81.4804901331175,0.059386439695302,30.3856029008726,1.3885574
Gaia DR2 2021107258972953088,294.149005356439,0.417097606696382,24.2742360658291,1.0042770854699,36.8595061848319,1.3885822
Gaia DR2 423663068805614208,13.1975376277829,0.464555231424787,55.7710045688464,0.638936372590514,29.7796088906631,1.3885956
Gaia DR2 4237289050615531904,299.164510639531,0.079910352293105,0.87956863045814,0.05651683636703,38.9336803787706,1.3886108
Gaia DR2 5502105963787924480,101.704879925725,0.156167210343046,-50.9940741147983,0.182126986588088,29.1084225494098,1.3886118
Gaia DR2 2230796431472654720,332.005898228994,0.083717615427934,72.5052709890327,0.072530265227228,21.8559109576814,1.3886242
Gaia DR2 235939531577580928,50.9537570380924,0.077935268689525,39.591829571763,0.059805870197232,25.8762529365394,1.3886623
Gaia DR2 6665111226973054208,291.53489428534,0.073939728147158,-43.1871877946237,0.061883034849104,42.0576841821168,1.38867
Gaia DR2 5935904773205046912,254.765150973917,0.103969158537562,-53.2091417687809,0.07744723143919,44.6264000687279,1.38867
Gaia DR2 4027106373481046272,181.061996366595,0.092505866446509,32.7728393013977,0.072816592005835,23.6347748669872,1.3886795
Gaia DR2 6025989891119541120,253.745024456192,1.1653146030244,-34.3510844927815,1.24327164761488,402.311198546636,1.3886871
Gaia DR2 646076953786745472,142.291139957462,0.079144496576212,25.9680807059517,0.076240794082197,56.7136475657029,1.3887119
Gaia DR2 5614011233617013888,115.974677486263,0.846635991562462,-25.4938058710815,1.89843550227649,22.3900891000651,1.3887577
Gaia DR2 4645805792678854528,43.6614798175066,0.081496577702686,-70.7850970069145,0.068420423827156,20.3911803486361,1.3887596
Gaia DR2 5926387366181515008,258.936523615105,0.113716154041609,-49.9188861553188,0.098527564758789,20.807945181091,1.388773
Gaia DR2 1765593577155381120,327.298419981289,0.634159575417716,10.6625427122916,0.401284411531345,23.3742190838918,1.388773
Gaia DR2 5958847732534002432,263.619311757717,0.507092942072269,-43.0354003376576,0.563034265523908,22.7691211031424,1.388834
Gaia DR2 1825517441904777728,294.160645754515,0.252600422343444,19.7688115359127,0.375962394585702,21.1004829686051,1.3888359
Gaia DR2 6067825587005040640,196.614542828108,2.09197206018016,-54.0316139136985,1.53596567851984,27.9622917656519,1.3888378
Gaia DR2 2250947352873635712,300.333305989886,0.045607679200688,69.8922719757874,0.047162754377411,53.056389876477,1.3888559
Gaia DR2 446476904284908288,50.6152441588002,0.071174726445512,53.5267217521807,0.061443510938423,32.2275576571268,1.3888836
Gaia DR2 3995235242243230208,165.972915266759,0.085325121437659,24.2948012327968,0.073955599611951,44.570092928157,1.3888893
Gaia DR2 4147112604476417792,271.434523697665,0.119958419900606,-14.3783610857254,0.115042947385007,105.563730900924,1.3889008
Gaia DR2 2932111573845020672,104.665880815885,0.030171705196679,-20.364273058145,0.041530735493781,47.020223264858,1.3889198
Gaia DR2 4262365234379272832,287.445521551415,1.01233334329263,-0.823607914671947,1.5338278740443,36.9476405075628,1.3889503
Gaia DR2 6018866254067549696,246.66997397755,1.16912556214762,-37.0406090809573,0.569251900473688,22.6627203352699,1.3889751
Gaia DR2 6384959581224081408,342.814465208731,0.06349892367071,-68.1896549669396,0.073335650134502,20.9289962365894,1.3889847
Gaia DR2 6877172385355562112,301.611087165664,0.081437684358872,-15.7408126626098,0.054501224113182,28.6817627007931,1.3889952
Gaia DR2 5983356259047553792,241.289871569209,0.06943155245299,-49.7996439190378,0.034107520495187,61.8317061953932,1.3889952
Gaia DR2 1820644883119378304,297.197092235233,0.302817009856784,16.4991170416461,0.342408546355547,22.1477027742837,1.3890495
Gaia DR2 5830055682125086848,250.276514971613,0.775908712917599,-62.5269061051308,0.543758572060092,37.8923707893679,1.3890896
Gaia DR2 430569170061296256,6.54754604010837,0.072955721223285,62.5671029986434,0.066916462443355,23.8985965470909,1.3891115
Gaia DR2 4722645575101855232,52.0365745413809,0.022655845279123,-61.2128146863926,0.027822794338828,22.7180244518711,1.3891239
Gaia DR2 4052439083016381312,273.871142456285,0.60534835738677,-27.3122465833206,0.564177977516014,20.2168767270229,1.3891621
